,TH-1,TH-2,TH-3,CK-1,CK-2,CK-3,pvalue,log2FC,UPDOWN
BraA01000002,66.48,95.29,76.28,63.07,93.72,70.41,0.7,0.0673017940516562,Not sig
BraA01000003,351.64,317.61,288.41,288.93,276.81,527.85,1,-0.191486506844038,Not sig
BraA01000004,73,60,75,57,69,43,0.2,0.299560281858908,Not sig
BraA01000006,105,44,79,65,116,80,0.7,-0.195015982405143,Not sig
BraA01000007,33,43,17,29,35,32,1,-0.0458036896131248,Not sig
BraA01000008,272.96,143.61,79.79,441.66,227.32,227.24,0.4,-0.852466063796873,Not sig
BraA01000009,28,33.93,42,47.86,38.22,32,0.7,-0.184152469824254,Not sig
BraA01000010,51,37,36,39,50,54,0.4,-0.205675026391514,Not sig
BraA01000012,0.005,1,1,0.005,0.005,0.005,0.187632329994884,7.06249592573376,Not sig
BraA01000018,0.005,1,3,3,1,3,0.479500122186953,-0.805552679423619,Not sig
BraA01000019,1,0.005,3,1,0.005,2,1,0.414437251697525,Not sig
BraA01000020,225,167,229,181,295,343,0.4,-0.399270183420527,Not sig
BraA01000021,64,52,79,60,60,50,0.375825087488698,0.197939377611909,Not sig
BraA01000022,50,26,31,34,41,66,0.4,-0.398084365997647,Not sig
BraA01000023,0.005,2,0.005,12,9,1,0.184038627196425,-3.45223611723309,Not sig
BraA01000026,31,22,15,27,51,37,0.2,-0.758027209694036,Not sig
BraA01000027,5,8,10,13,11,48,0.1,-1.6463630453853,Not sig
BraA01000030,355,411,318,483,466.22,549.36,0.1,-0.467231345860104,Not sig
BraA01000031,191,155,131,177,168,216,0.4,-0.234011504603281,Not sig
BraA01000035,131,105,140,96,73,57,0.1,0.73440988926245,Not sig
BraA01000036,385,313,331,327,382,446,0.7,-0.166649869409451,Not sig
BraA01000038,56,142,42,72,155,164,0.2,-0.704134201698834,Not sig
BraA01000039,1,0.005,0.005,1,4,4,0.110148924185947,-3.15556970846524,Not sig
BraA01000040,3,1,0.005,0.005,0.005,4,1,-0.00179999404621015,Not sig
BraA01000042,102,61,98,92,113,327,0.4,-1.02737643893131,Not sig
BraA01000044,52,48,55,40,60,69,0.7,-0.124755031007947,Not sig
BraA01000045,257.26,154.05,221.83,219.22,219.3,209.07,0.7,-0.0325561640590468,Not sig
BraA01000047,842,741,1055,716,809,644,0.2,0.282414511579271,Not sig
BraA01000048,592,532,697,366,431,442,0.1,0.555554734836237,Not sig
BraA01000049,9.1,10.48,7.95,21.59,15.13,18.36,0.1,-1.0005239495394,Not sig
BraA01000051,0.1,9,0.005,0.005,13,0.005,1,-0.514890039740957,Not sig
BraA01000053,67.9,75.52,64.05,70.41,80.87,156.64,0.2,-0.569652837297077,Not sig
BraA01000054,51,52,67,55,53,59,0.7,0.0256866436636496,Not sig
BraA01000056,27.9,0.005,18,13,0.005,23,0.824778095082513,0.350454034449939,Not sig
BraA01000060,1,2,1,1,0.005,2,0.813663715766792,0.412635009063539,Not sig
BraA01000061,1470,1572.48,1841.78,1366,1607,1341,0.4,0.179113823730048,Not sig
BraA01000062,16,7,20,25,14,18,0.7,-0.406625259462644,Not sig
BraA01000065,363,301,387,358,349,370,1,-0.0352555805820292,Not sig
BraA01000067,583,505,359,935,790,1095,0.1,-0.962630240754431,Not sig
BraA01000069,111,68,83,77,75,109,1,0.00551700496756584,Not sig
BraA01000074,1,0.005,6,7,1,7,0.261154559741833,-1.09850554495243,Not sig
BraA01000075,2,2,2,5,6,6,0.0593464387919199,-1.50250034052918,Not sig
BraA01000076,102,59,87,78,70,61,0.7,0.246837178305992,Not sig
BraA01000079,106,108,153,178,200,233,0.1,-0.735392316975517,Not sig
BraA01000080,4,4,5,5,5,9,0.157299207050285,-0.547487795302493,Not sig
BraA01000081,0.005,2,2,3,6,3,0.0721981977016576,-1.58316025808717,Not sig
BraA01000082,41,59,25,42,16,267,1,-1.37851162325373,Not sig
BraA01000084,32,27,24,40,24,26,1,-0.11681366498275,Not sig
BraA01000085,538,255,307,340,436,891,0.4,-0.599750580574395,Not sig
BraA01000086,236,118,164,190,196,419,0.4,-0.636036685315425,Not sig
BraA01000087,103,78,115,102,77,82,0.4,0.181547369059065,Not sig
BraA01000088,23,4,15,19,31,61,0.2,-1.40209844357135,Not sig
BraA01000090,389,409,352,354,425,323,1,0.06150963726058,Not sig
BraA01000091,17,0.005,1,21,12,95,0.2,-2.82967430558444,Not sig
BraA01000092,220,97,76,261,179,801,0.2,-1.65890189787175,Not sig
BraA01000093,122,95,110,118,145,158,0.2,-0.364529597568314,Not sig
BraA01000094,2688,2408,3163,2965,2856,1828,1,0.110695962763446,Not sig
BraA01000095,0.005,2,1,0.005,4,2,0.653095114932182,-0.998799254994449,Not sig
BraA01000097,138,73,130,76,121,90,0.7,0.248721002348485,Not sig
BraA01000098,23,11,35,30,23,9,0.824778095082513,0.154328146391294,Not sig
BraA01000099,953,877,1236,844,974,1144,1,0.0497860563699298,Not sig
BraA01000100,72,86,101,98,71,80,0.7,0.0568063556184727,Not sig
BraA01000101,0.005,1,3,0.005,1,2,1,0.414437251697525,Not sig
BraA01000102,501,407,582,369,502,488,0.7,0.132766874582133,Not sig
BraA01000103,1,0.005,2,0.005,0.005,0.005,0.196705602458947,7.64625867999003,Not sig
BraA01000104,552,353,358,472,586,605,0.2,-0.396933529499717,Not sig
BraA01000106,37,45.58,57,39,18,39,0.375825087488698,0.539985925959919,Not sig
BraA01000107,2,3,1,0.005,1,12,0.824778095082513,-1.11603199344711,Not sig
BraA01000110,4,1,4,0.005,0.005,0.005,0.0593464387919199,9.22881869049588,Not sig
BraA01000111,46,37,45,25,34,44,0.2,0.313499472816781,Not sig
BraA01000112,228,171,244,177,181,142,0.4,0.36289064266586,Not sig
BraA01000113,2,0.005,2,0.005,0.005,0.005,0.187632329994884,8.06069593168755,Not sig
BraA01000114,3,0.005,3,0.005,0.005,6,1,-0.0012007450055515,Not sig
BraA01000116,1,0.005,0.005,5,0.005,12,0.353678517318465,-4.07353180795605,Not sig
BraA01000117,64,71,91,57,51,102,0.7,0.105933444749065,Not sig
BraA01000118,161,150,120,149,126,132,0.7,0.0826590748228512,Not sig
BraA01000119,28,21.92,33,40.28,16.79,32,1,-0.103219477598397,Not sig
BraA01000120,39,14,20,17,28,37,1,-0.167727445738066,Not sig
BraA01000121,723,772.21,1286.87,754.34,996.82,776.44,1,0.138395734919643,Not sig
BraA01000122,192,217,244,217,203,191,0.50655516904904,0.0959106117277012,Not sig
BraA01000123,2057,1051,2371,1884,1766,3219,1,-0.326187480836059,Not sig
BraA01000125,0.005,1,0.005,0.005,1,2,0.479500122186953,-1.57300969795939,Not sig
BraA01000126,29,16,37,28,34,59,0.7,-0.561311232656511,Not sig
BraA01000127,1,3,0.005,0.005,0.005,1,0.479500122186953,1.98744694965692,Not sig
BraA01000128,76,69,42,77,80,80,0.0765225004750592,-0.341848789010622,Not sig
BraA01000130,216,166,207,103,88,18,0.1,1.49476469174958,Not sig
BraA01000133,68,54,54,60,126,141,0.184038627196425,-0.893715206860785,Not sig
BraA01000134,3,2,2,9,12,32,0.0765225004750592,-2.9205655325056,Not sig
BraA01000135,69,84,49,47,61,69,0.50655516904904,0.190605932668797,Not sig
BraA01000136,58,61,36,51,51,60,1,-0.0637255976103873,Not sig
